ID_Bouwens ID(Fink) id(Har) X_Deg Y_Deg I-Flux/Error Z-Flux/Error Y-Flux/Error H-Flux/Error Image_used
XDFI-2393548178 - - 53.163965745 -27.8049686 0.012$\pm$0.008 0.045$\pm$0.014 0.063$\pm$0.009 0.082$\pm$0.011 XDF
XDFI-2397748121 - - 53.165745023 -27.80338094 0.052$\pm$0.009 0.219$\pm$0.017 0.168$\pm$0.01 0.147$\pm$0.013 XDF
XDFI-2382648035 - z6_xdf_1266 53.15944516800001 -27.80100182 0.017$\pm$0.008 0.078$\pm$0.015 0.071$\pm$0.008 0.043$\pm$0.01 XDF
XDFI-2405548026 z6_MAIN_5666 - 53.1689794 -27.80071609 -0.001$\pm$0.008 0.13$\pm$0.015 0.154$\pm$0.01 0.137$\pm$0.013 XDF
XDFI-2406647563 - - 53.169421611000004 -27.79896706 0.006$\pm$0.008 0.036$\pm$0.017 0.027$\pm$0.009 0.047$\pm$0.01 XDF
XDFI-2382747512 z6_MAIN_5458 z6_xdf_1626 53.159504606000006 -27.79758345 0.072$\pm$0.008 0.319$\pm$0.015 0.298$\pm$0.007 0.247$\pm$0.011 XDF
XDFI-2414147505 - - 53.172528203 -27.79734728 0.022$\pm$0.008 0.077$\pm$0.016 0.063$\pm$0.013 0.073$\pm$0.017 XDF
XDFI-2375348015 z6_MAIN_5642 z6_xdf_1334 53.156408291000005 -27.80043247 0.002$\pm$0.008 0.06$\pm$0.015 0.077$\pm$0.009 0.051$\pm$0.011 XDF
XDFI-2368147582 - z6_xdf_1434 53.153404505 -27.7995033 0.057$\pm$0.009 0.158$\pm$0.016 0.147$\pm$0.009 0.112$\pm$0.012 XDF
XDFI-2352347428 z6_MAIN_5130 z6_xdf_1968 53.146817309 -27.795236 0.021$\pm$0.008 0.068$\pm$0.015 0.091$\pm$0.009 0.054$\pm$0.013 XDF
XDFI-2350547402 - - 53.146069785 -27.79449306 0.013$\pm$0.008 0.234$\pm$0.015 0.379$\pm$0.007 0.45$\pm$0.012 XDF
XDFI-2420247073 - - 53.17505429 -27.78537181 0.007$\pm$0.008 0.035$\pm$0.015 0.057$\pm$0.007 0.063$\pm$0.01 XDF
XDFI-2426947749 z6_MAIN_3487 z6_xdf_3413 53.177835394 -27.78535868 0.023$\pm$0.008 0.1$\pm$0.015 0.116$\pm$0.008 0.105$\pm$0.01 XDF
XDFI-2442346543 - - 53.184305752 -27.78176242 0.019$\pm$0.008 0.061$\pm$0.016 0.079$\pm$0.009 0.052$\pm$0.012 XDF
XDFI-2447046454 z6_MAIN_2277 - 53.186259593 -27.7792911 0.046$\pm$0.008 0.194$\pm$0.016 0.236$\pm$0.01 0.21$\pm$0.011 XDF
XDFI-2401047389 z6_MAIN_4980 z6_xdf_2103 53.16709836800001 -27.79416675 0.057$\pm$0.009 0.159$\pm$0.017 0.132$\pm$0.008 0.124$\pm$0.01 XDF
XDFI-2381547333 - z6_xdf_2329 53.158981655 -27.79260209 0.021$\pm$0.008 0.117$\pm$0.016 0.108$\pm$0.008 0.101$\pm$0.011 XDF
XDFI-2387847107 - z6_xdf_3245 53.161603005 -27.78634765 0.034$\pm$0.008 0.151$\pm$0.014 0.179$\pm$0.008 0.197$\pm$0.011 XDF
XDFI-2400147089 - z6_xdf_3349 53.16674994 -27.785847600000004 0.015$\pm$0.009 0.088$\pm$0.015 0.084$\pm$0.008 0.071$\pm$0.01 XDF
XDFI-2414347041 - z6_xdf_3635 53.172654363 -27.78446854 -0.004$\pm$0.008 0.038$\pm$0.014 0.049$\pm$0.007 0.049$\pm$0.01 XDF
XDFI-2394247025 z6_MAIN_3206 - 53.164272569 -27.7840577 0.011$\pm$0.008 0.068$\pm$0.015 0.087$\pm$0.008 0.069$\pm$0.01 XDF
XDFI-2411846551 - z6_xdf_3981 53.171594807 -27.7820018 0.015$\pm$0.008 0.089$\pm$0.015 0.098$\pm$0.008 0.058$\pm$0.011 XDF
XDFI-2385846521 - - 53.160788321000005 -27.78114443 -0.001$\pm$0.008 0.036$\pm$0.015 0.086$\pm$0.008 0.057$\pm$0.013 XDF
XDFI-2395046494 - z6_xdf_4270 53.164585635 -27.7804066 -0.0$\pm$0.008 0.066$\pm$0.014 0.053$\pm$0.007 0.057$\pm$0.01 XDF
XDFI-2344973495 z6_MAIN_4816 z6_xdf_2257 53.14364212 -27.79307153 0.024$\pm$0.008 0.116$\pm$0.016 0.093$\pm$0.009 0.073$\pm$0.012 XDF
XDFI-2351947246 - z6_xdf_2679 53.14665634 -27.79020414 0.008$\pm$0.008 0.052$\pm$0.016 0.057$\pm$0.009 0.056$\pm$0.012 XDF
XDFI-2336547239 - z6_xdf_2714 53.140218958999995 -27.78997957 0.001$\pm$0.009 0.059$\pm$0.016 0.058$\pm$0.008 0.048$\pm$0.011 XDF
XDFI-2358846508 z6_MAIN_2555 z6_xdf_4187 53.149514043 -27.78078367 0.005$\pm$0.008 0.077$\pm$0.016 0.071$\pm$0.008 0.065$\pm$0.011 XDF
XDFI-2357546502 - z6_xdf_4221 53.148993833999995 -27.78063767 0.011$\pm$0.008 0.034$\pm$0.015 0.049$\pm$0.008 0.053$\pm$0.01 XDF
XDFI-2340946472 z6_MAIN_2345 z6_xdf_4290 53.142053741999995 -27.77978038 0.086$\pm$0.008 0.735$\pm$0.015 0.942$\pm$0.007 0.897$\pm$0.009 XDF
XDFI-2427946433 z6_MAIN_2180 z6_xdf_4487 53.178330636000005 -27.77870965 0.015$\pm$0.009 0.089$\pm$0.016 0.099$\pm$0.008 0.079$\pm$0.01 XDF
XDFI-2430246236 z6_MAIN_1225 - 53.17927731899999 -27.77323904 0.006$\pm$0.008 0.223$\pm$0.015 0.285$\pm$0.009 0.221$\pm$0.012 XDF
XDFI-2423646157 - - 53.176513606 -27.77103352 0.102$\pm$0.008 0.322$\pm$0.015 0.224$\pm$0.009 0.188$\pm$0.012 XDF
XDFI-2411346344 - z6_xdf_4811 53.17140654399999 -27.7762503 0.006$\pm$0.008 0.047$\pm$0.015 0.049$\pm$0.007 0.044$\pm$0.011 XDF
XDFI-2388046343 - - 53.16168066 -27.7762004 -0.005$\pm$0.008 0.045$\pm$0.014 0.034$\pm$0.008 0.041$\pm$0.01 XDF
XDFI-2397946337 z6_MAIN_1609 z6_xdf_4817 53.165787781000006 -27.776044 0.01$\pm$0.008 0.122$\pm$0.015 0.151$\pm$0.008 0.143$\pm$0.012 XDF
XDFI-2402246326 - z6_xdf_4832 53.167600367 -27.77572335 0.019$\pm$0.008 0.077$\pm$0.015 0.066$\pm$0.009 0.051$\pm$0.012 XDF
XDFI-2376846215 z6_MAIN_1117 z6_xdf_5201 53.157036228 -27.77263944 0.007$\pm$0.008 0.105$\pm$0.015 0.12$\pm$0.008 0.096$\pm$0.012 XDF
XDFI-2382646184 z6_MAIN_997 - 53.159454536000005 -27.77178796 0.016$\pm$0.008 0.087$\pm$0.015 0.109$\pm$0.008 0.084$\pm$0.011 XDF
XDFI-2378346180 z6_MAIN_994 z6_xdf_5312 53.15762822 -27.77169071 0.001$\pm$0.008 0.054$\pm$0.016 0.057$\pm$0.009 0.091$\pm$0.011 XDF
XDFI-2385446175 z6_MAIN_929 z6_xdf_5310 53.160603243999994 -27.77153548 0.032$\pm$0.009 0.254$\pm$0.016 0.201$\pm$0.009 0.165$\pm$0.013 XDF
XDFI-2390846091 - z6_xdf_5487 53.162856183 -27.76922787 -0.002$\pm$0.008 0.06$\pm$0.016 0.069$\pm$0.008 0.049$\pm$0.011 XDF
XDFI-2341946390 - - 53.142470966000005 -27.77751904 0.005$\pm$0.008 0.083$\pm$0.016 0.08$\pm$0.011 0.064$\pm$0.016 XDF
XDFI-2340346372 - - 53.141788247 -27.77701351 0.016$\pm$0.008 0.052$\pm$0.016 0.069$\pm$0.011 0.1$\pm$0.016 XDF
XDFI-2372346314 - z6_xdf_4912 53.155154318 -27.77540231 0.011$\pm$0.008 0.047$\pm$0.015 0.036$\pm$0.008 0.051$\pm$0.011 XDF
XDFI-2375146010 - z6_xdf_5619 53.15629938 -27.76696894 0.014$\pm$0.008 0.054$\pm$0.015 0.053$\pm$0.009 0.059$\pm$0.011 XDF
XDFI-2369745576 z6_MAIN_452 z6_xdf_5653 53.154055858 -27.7659983 0.031$\pm$0.008 0.271$\pm$0.016 0.336$\pm$0.008 0.32$\pm$0.01 XDF
XDFI-2380545488 z6_MAIN_257 z6_xdf_6038 53.158541671 -27.76356237 -0.007$\pm$0.008 0.108$\pm$0.015 0.073$\pm$0.007 0.061$\pm$0.01 XDF
XDFI-2383945486 - - 53.160003623 -27.76350628 -0.0$\pm$0.008 0.05$\pm$0.015 0.073$\pm$0.008 0.045$\pm$0.011 XDF
XDFI-2394545434 z6_MAIN_158 - 53.164397234 -27.76206529 0.02$\pm$0.008 0.214$\pm$0.015 0.223$\pm$0.012 0.171$\pm$0.015 XDF
GSWI-2519154263 - - 53.216298697 -27.90731201 0.226$\pm$0.053 0.838$\pm$0.071 0.735$\pm$0.104 1.287$\pm$0.156 South
GSWI-2538151496 z6_GSW_1698 z6_gdsw_11178 53.22419046899999 -27.86377689 -0.052$\pm$0.057 0.453$\pm$0.068 0.638$\pm$0.105 0.859$\pm$0.147 South
GSWI-2539351007 z6_GSW_501 - 53.224708421 -27.85020625 0.087$\pm$0.055 0.351$\pm$0.075 0.499$\pm$0.108 0.605$\pm$0.096 South
GSWI-2549003286 - - 53.228717364 -27.84242423 0.095$\pm$0.058 0.181$\pm$0.072 0.389$\pm$0.099 0.511$\pm$0.122 South
GSWI-2296455045 - - 53.123540969 -27.91790751 0.124$\pm$0.052 0.477$\pm$0.074 0.696$\pm$0.104 0.887$\pm$0.144 South
GSWI-2364153267 z6_GSW_6659 z6_gdsw_5379 53.151728838000004 -27.89074037 0.132$\pm$0.053 0.872$\pm$0.074 0.89$\pm$0.093 1.098$\pm$0.12 South
GSWI-2390352230 - - 53.162608345 -27.8730773 0.312$\pm$0.059 1.68$\pm$0.078 1.912$\pm$0.11 2.616$\pm$0.13 South
GSWI-2368352010 z6_GSW_2202 z6_gdsw_10297 53.153461108 -27.86695605 0.151$\pm$0.055 0.732$\pm$0.073 0.816$\pm$0.11 1.135$\pm$0.09 South
GSWI-2263556267 z6_GSW_13472 z6_gdsw_504 53.109805656000006 -27.94077268 0.004$\pm$0.054 0.438$\pm$0.07 0.62$\pm$0.106 0.882$\pm$0.153 South
GSWI-2225156275 z6_GSW_13480 z6_gdsw_497 53.09382789 -27.94097383 0.069$\pm$0.052 0.639$\pm$0.067 0.807$\pm$0.113 0.816$\pm$0.132 South
GSWI-2223355438 z6_GSW_12728 z6_gdsw_1248 53.093039964 -27.92883658 0.176$\pm$0.057 0.594$\pm$0.079 0.692$\pm$0.108 1.061$\pm$0.143 South
GSWI-2243104798 z6_GSD_30912 z6_gdsd_15876 53.101411185 -27.84667083 0.118$\pm$0.055 0.62$\pm$0.07 0.74$\pm$0.051 0.761$\pm$0.069 South
GSWI-2148550338 z6_GSD_30000 z6_gdsd_16919 53.06191283800001 -27.842736100000003 0.089$\pm$0.053 0.523$\pm$0.073 0.608$\pm$0.062 0.63$\pm$0.077 South
GSWI-2086346349 z6_GSD_8391 z6_gdsd_34794 53.035964498999995 -27.77638216 0.144$\pm$0.054 0.414$\pm$0.075 0.552$\pm$0.051 0.752$\pm$0.077 South
