id wisp_id RA DEC FLUX_TOTAL_U FLUXERR_TOTAL_U FLUX_TOTAL_G FLUXERR_TOTAL_G FLUX_TOTAL_F475X FLUXERR_TOTAL_F475X FLUX_TOTAL_R FLUXERR_TOTAL_R FLUX_TOTAL_F600LP FLUXERR_TOTAL_F600LP FLUX_TOTAL_I FLUXERR_TOTAL_I FLUX_TOTAL_F814W FLUXERR_TOTAL_F814W FLUX_TOTAL_F110W FLUXERR_TOTAL_F110W FLUX_TOTAL_F140W FLUXERR_TOTAL_F140W FLUX_TOTAL_F160W FLUXERR_TOTAL_F160W FLUX_TOTAL_IRAC FLUXERR_TOTAL_IRAC comment
309_2_4 102 324.815277 -38.415436 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.1162462168485492 0.05090861939547575 1.2033722711826809 0.033254635763066205 -99.0 -99.0 0.7131813866797394 0.07369935036948716 -99.0 -99.0 -
309_2_5 84 324.807892 -38.424446 1.2807555570705755 0.03362027574515188 1.85006185524679 0.04140785031085658 -99.0 -99.0 1.8992679906525012 0.06507577530834764 -99.0 -99.0 -99.0 -99.0 1.3600770884837166 0.14501030134906934 1.5020677269599942 0.09625306683144584 -99.0 -99.0 1.7944144105471016 0.2906393321884563 1.5721944140611244 0.179853132749739 -
309_2_6 296 324.798615 -38.434273 0.12554408426845987 0.12554408426845987 0.19669179736138304 0.04724648632609265 -99.0 -99.0 0.3419371195506193 0.07133294186820326 -99.0 -99.0 -99.0 -99.0 0.3108279040983256 0.044553678636615454 0.28575905433749393 0.029265431559294564 -99.0 -99.0 0.4413671434634389 0.06527793754908469 0.003631 0.2679330259598767 -
309_2_7 136 324.793884 -38.437054 0.4302751343834084 0.02980260671053912 0.6117109418429386 0.03932709195969155 -99.0 -99.0 0.6987893041096142 0.06088741656882149 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0387425524457272 0.06362460528189337 -99.0 -99.0 1.1636955354021934 0.1963451219913501 1.24631048565901 0.20812019070643686 -
309_2_8 2057 324.803192 -38.413239 0.1336430101098373 0.029653312273611312 0.12001243539548966 0.03449929178127688 -99.0 -99.0 0.17528560377731464 0.0520997184663714 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.16066665195855726 0.05658355121505253 -99.0 -99.0 0.2798270143699627 0.163849777412679 0.003631 0.2679330259598767 -
309_2_9 2042 324.798676 -38.416111 0.12554408426845987 0.12554408426845987 0.1452232839393275 0.1452232839393275 -99.0 -99.0 0.124619570150727 0.059822744860044776 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.126590174930024 0.031805811334853065 -99.0 -99.0 0.2989509927814587 0.07142607974037593 0.2897518709470018 0.2679330259598767 -
309_2_11 23 324.794006 -38.416855 1.1693546551866438 0.03349518015235213 1.9915272302366445 0.05007541716597004 -99.0 -99.0 6.147042968722007 0.07982906481256065 -99.0 -99.0 -99.0 -99.0 8.323002019298217 0.12725670906965636 11.523913771994874 0.10614066890122052 -99.0 -99.0 15.819763986011564 0.2477093196601068 15.79596813296618 0.2109620870664176 -
309_2_13 113 324.797455 -38.402336 0.4274705981745351 0.041577687360441096 0.4406220725276177 0.0510142714531837 -99.0 -99.0 0.741013719692923 0.08483743700638326 -99.0 -99.0 -99.0 -99.0 0.7838332523254857 0.14584955144851147 0.9364283930517461 0.08907681220564714 -99.0 -99.0 1.5706281108105211 0.26896132442400666 2.4354894290733657 0.19045137010990956 -
309_2_14 115 324.783539 -38.423065 0.24805400814448186 0.04247328001663367 0.028399209330433613 0.03331420558463686 -99.0 -99.0 0.14106726582899098 0.07973932121143204 -99.0 -99.0 -99.0 -99.0 0.4427958486981498 0.20557884012897007 0.6435114537020147 0.13425634350148288 -99.0 -99.0 0.9657174280866176 0.39918470094051584 2.672183320918395 0.20477632154408254 -
309_2_17 179 324.773926 -38.425514 0.3506438683869906 0.024318506810245243 0.531503647073531 0.03955426234783091 -99.0 -99.0 0.4540108678926763 0.05937864368732365 -99.0 -99.0 -99.0 -99.0 0.3900856730798358 0.04088896487219404 0.7027910933160443 0.027518495826888253 -99.0 -99.0 0.6886939199917652 0.06462656819812837 0.9074574050136018 0.1675833192458572 -
