ID_Bouwens ID(Fink) id(Har) X_Deg Y_Deg Z-Flux/Error Y-Flux/Error J-Flux/Error H-Flux/Error Image_used
XDFZ-2397447451 z7_MAIN_5208 z7_xdf_1875 53.165616121999996 -27.79587404 0.017$\pm$0.016 0.084$\pm$0.008 0.07$\pm$0.013 0.074$\pm$0.011 XDF
XDFZ-2366748067 - - 53.152822365 -27.80187624 -0.012$\pm$0.015 0.071$\pm$0.01 0.098$\pm$0.015 0.077$\pm$0.014 XDF
XDFZ-2367747536 z6_MAIN_5507 z7_xdf_1550 53.15321850300001 -27.79822007 0.127$\pm$0.016 0.252$\pm$0.007 0.235$\pm$0.011 0.221$\pm$0.01 XDF
XDFZ-2355147443 - z7_xdf_1910 53.147974002 -27.79564276 0.006$\pm$0.014 0.033$\pm$0.008 0.056$\pm$0.012 0.06$\pm$0.013 XDF
XDFZ-2425646566 - z7_xdf_3886 53.177317497 -27.782393100000004 0.108$\pm$0.016 0.519$\pm$0.009 0.589$\pm$0.011 0.634$\pm$0.011 XDF
XDFZ-2424446533 - z7_xdf_4077 53.176861176 -27.78148221 0.02$\pm$0.015 0.044$\pm$0.008 0.054$\pm$0.01 0.06$\pm$0.01 XDF
XDFZ-2443046452 - z7_xdf_4391 53.184612904 -27.7792074 0.086$\pm$0.014 0.161$\pm$0.008 0.154$\pm$0.011 0.124$\pm$0.01 XDF
XDFZ-2415947044 z6_MAIN_3338 z7_xdf_3588 53.173315517 -27.78457763 0.051$\pm$0.014 0.15$\pm$0.007 0.141$\pm$0.011 0.13$\pm$0.011 XDF
XDFZ-2363747162 - z7_xdf_3021 53.15157660000001 -27.78783761 0.042$\pm$0.013 0.183$\pm$0.008 0.185$\pm$0.01 0.158$\pm$0.011 XDF
XDFZ-2334446598 - - 53.139371378 -27.78327462 -0.026$\pm$0.015 0.042$\pm$0.008 0.045$\pm$0.011 0.072$\pm$0.011 XDF
XDFZ-2345646493 - - 53.144023612 -27.78036067 0.017$\pm$0.015 0.064$\pm$0.008 0.062$\pm$0.01 0.066$\pm$0.01 XDF
XDFZ-2421846277 - - 53.175796739 -27.7743994 0.104$\pm$0.015 0.263$\pm$0.009 0.26$\pm$0.012 0.245$\pm$0.012 XDF
XDFZ-2405646435 z7_MAIN_2184 z7_xdf_4451 53.16902586 -27.77876553 0.077$\pm$0.014 0.18$\pm$0.008 0.159$\pm$0.011 0.152$\pm$0.01 XDF
XDFZ-2401846190 - - 53.167433287 -27.77193255 -0.013$\pm$0.015 0.047$\pm$0.008 0.031$\pm$0.011 0.05$\pm$0.011 XDF
XDFZ-2383546118 z7_MAIN_938 z7_xdf_5435 53.159831133999994 -27.76996971 0.046$\pm$0.017 0.129$\pm$0.009 0.179$\pm$0.012 0.156$\pm$0.014 XDF
XDFZ-2381446048 - z7_xdf_5560 53.15892482100001 -27.768005100000003 0.002$\pm$0.016 0.031$\pm$0.009 0.043$\pm$0.013 0.061$\pm$0.014 XDF
XDFZ-2375446018 - z7_xdf_5603 53.156450342 -27.76719314 0.004$\pm$0.016 0.053$\pm$0.008 0.063$\pm$0.013 0.056$\pm$0.012 XDF
XDFZ-2373546245 - z7_xdf_5101 53.155626217 -27.77351338 0.02$\pm$0.015 0.072$\pm$0.007 0.059$\pm$0.011 0.048$\pm$0.011 XDF
GSWZ-2367154420 z6_GSW_10661 z7_gdsw_2681 53.15297561 -27.91166828 0.243$\pm$0.064 0.64$\pm$0.091 0.561$\pm$0.081 0.698$\pm$0.109 South
GSDZ-2355051091 z7_GSD_32342 z7_gdsd_14110 53.147934418 -27.8525247 0.094$\pm$0.063 0.327$\pm$0.038 0.503$\pm$0.051 0.464$\pm$0.065 South
GSDZ-2361451030 z7_GSD_32054 z7_gdsd_14715 53.150584964 -27.85085924 0.012$\pm$0.064 0.282$\pm$0.044 0.241$\pm$0.052 0.274$\pm$0.067 South
GSDZ-2313750347 - z7_gdsd_16897 53.130721166 -27.84297944 0.005$\pm$0.071 0.257$\pm$0.038 0.411$\pm$0.054 0.477$\pm$0.069 South
GSDZ-2307950272 z7_GSD_29430 - 53.128304627 -27.84088782 0.038$\pm$0.072 0.259$\pm$0.042 0.429$\pm$0.055 0.557$\pm$0.069 South
GSDZ-2455950175 z6_GSD_28705 z7_gdsd_18219 53.189984837 -27.83820611 0.15$\pm$0.078 0.364$\pm$0.042 0.556$\pm$0.068 0.367$\pm$0.074 South
GSDZ-2371848566 - - 53.15493403600001 -27.815726 0.072$\pm$0.015 0.535$\pm$0.034 0.627$\pm$0.04 0.73$\pm$0.057 XDF
GSDZ-2372848546 - - 53.155322733999995 -27.81516558 0.296$\pm$0.016 1.417$\pm$0.035 1.861$\pm$0.044 1.796$\pm$0.064 XDF
GSDZ-2372245383 - - 53.155124476000005 -27.76065447 0.204$\pm$0.016 0.504$\pm$0.04 0.443$\pm$0.029 0.365$\pm$0.044 XDF
GSDZ-2406745116 z6_GSD_2545 z7_gdsd_40414 53.16947891 -27.75321433 0.008$\pm$0.086 0.266$\pm$0.046 0.34$\pm$0.054 0.287$\pm$0.07 South
GSDZ-2360044417 z7_GSD_1273 - 53.150021775 -27.7449241 0.122$\pm$0.069 0.731$\pm$0.037 0.938$\pm$0.061 0.904$\pm$0.075 South
GSDZ-2406944167 z7_GSD_568 z7_gdsd_43756 53.169556439 -27.73797671 0.044$\pm$0.07 0.441$\pm$0.04 0.69$\pm$0.05 0.758$\pm$0.071 South
GSDZ-2180650493 - - 53.075264964 -27.84701404 0.148$\pm$0.078 0.271$\pm$0.056 0.42$\pm$0.048 0.395$\pm$0.07 South
GSDZ-2288549126 z7_GSD_22760 z7_gdsd_22813 53.120255889 -27.820198600000005 0.158$\pm$0.071 0.286$\pm$0.038 0.478$\pm$0.061 0.597$\pm$0.075 South
