X_Deg Y_Deg X_Pix Y_Pix B-band_Flux B-Flux_error V-band_Flux V-Flux_error I-band_Flux I-Flux_error Z-band_Flux Z-Flux_error Y-band_Flux Y-Flux_error J-band_Flux J-Flux_error JH-band_Flux JH-Flux_error H-band_Flux H-Flux_error Image_used R_s Axis_Ratio Position_Angle_Degrees Galfit_Error_Code Astrometric_Flag A_CIER Mag_Flag Colour_Flag input_z redshift_beagle_1 outlier_value P1/P2 drop_out_agree ID_Bouwens RAh RAm RAs DEdeg DEm DEs F160W rset dset zphot Z-bin
189.45285636 62.27121717 4080.481 12210.053 3.711e-31 3.8551999999999977e-32 1.2552999999999999e-30 3.0865999999999994e-32 1.7724e-30 4.953199999999998e-32 1.9928999999999997e-30 6.526999999999999e-32 2.0776e-30 8.82e-32 2.2599e-30 9.800000000000001e-32 0.0 0.0 3.7320999999999994e-30 1.249e-31 North 3.1137 0.177 -29.6171 0.0 0.0 0.0 97.0 3.0 3.63 3.142 0.10539956803455723 -99.0 1 GNWB-7486916166 12 37 48.69 62 16 16.6 24.42 4 6 3.63 4.0
189.52596176 62.273957397 2040.345 12382.688 -2.54e-32 4.2211999999999993e-32 3.177e-31 2.9402e-32 7.274999999999998e-31 4.8250999999999997e-32 7.456999999999994e-31 6.167099999999999e-32 7.921e-31 9.66e-32 6.366e-31 1.139e-31 0.0 0.0 8.464e-31 1.1849999999999998e-31 North 0.01 0.2419 19.4909 8.0 0.0 0.0 0.0 2.0 4.32 4.41 0.016917293233082678 -99.0 1 GNWB-8062316265 12 38 6.23 62 16 26.5 26.05 4 6 4.32 4.0
189.5245971 62.282096266 2080.6710000000007 12870.842 1.216e-31 3.946699999999999e-32 4.617e-31 3.0499999999999987e-32 5.255e-31 5.130099999999997e-32 5.909e-31 6.508699999999997e-32 6.7189999999999995e-31 9.419999999999999e-32 3.714e-31 1.174e-31 0.0 0.0 4.55e-31 1.247e-31 North 99.0 99.0 99.0 1.0 0.0 107.0 0.0 1.0 3.4 3.6660000000000004 0.06045454545454545 0.1768 1 GNWB-8059116559 12 38 5.91 62 16 55.9 26.93 4 6 3.4 4.0
189.53708677 62.282551261 1732.2520000000006 12899.768999999998 -8.21e-32 4.2394999999999975e-32 8.83e-32 3.440399999999999e-32 4.286e-31 6.106099999999997e-32 3.935e-31 7.015e-32 5.088e-31 9.5e-32 4.029e-31 1.33e-31 0.0 0.0 9.564e-31 1.489e-31 North 1.5556 0.0644 -1.044 12.0 0.0 107.0 97.0 2.0 4.59 4.689 0.017710196779964257 -99.0 -99 GNWB-8089016573 12 38 8.9 62 16 57.3 25.54 4 6 4.59 4.0
189.50828673 62.280211723 2535.356 12755.746 1.148e-31 4.0564999999999997e-32 2.8829999999999997e-31 3.0927e-32 5.419e-31 4.7396999999999996e-32 6.356e-31 6.301299999999997e-32 5.825999999999998e-31 9.96e-32 5.8659999999999995e-31 1.078e-31 0.0 0.0 1.2922e-30 1.1419999999999998e-31 North 2.3211 0.2373 -5.6743 0.0 0.0 107.0 97.0 3.0 4.11 3.2960000000000003 0.15929549902152645 -99.0 1 GNWB-8020016491 12 38 2.0 62 16 49.1 25.47 4 6 4.11 4.0
189.52177393 62.281915174 2159.408 12859.618 1.7389999999999999e-31 3.8491e-32 6.118e-31 2.9158e-32 9.012999999999999e-31 4.9165999999999997e-32 9.803e-31 6.118299999999997e-32 8.468999999999997e-31 9.88e-32 9.609999999999999e-31 1.1039999999999998e-31 0.0 0.0 1.3736e-30 1.179e-31 North 0.01 0.8576 -48.1288 8.0 0.0 107.0 0.0 1.0 3.49 3.339 0.033630289532294036 -99.0 1 GNWB-8052216552 12 38 5.22 62 16 55.2 25.87 4 6 3.49 4.0
189.49174788 62.282123258999995 2997.401 12868.502 1.288e-31 4.4164e-32 3.078e-31 3.0499999999999987e-32 4.139e-31 5.0874e-32 5.487e-31 6.2037e-32 3.0299999999999998e-31 9.800000000000001e-32 4.6639999999999996e-31 1.2539999999999994e-31 0.0 0.0 7.270999999999998e-31 1.288e-31 North 0.2386 0.0277 -36.0809 8.0 0.0 107.0 0.0 3.0 3.72 3.491 0.04851694915254239 0.4953 1 GNWB-7580216560 12 37 58.02 62 16 56.0 26.62 4 6 3.72 4.0
189.48943927 62.286776347 3062.952 13147.425 5.08e-32 3.9161999999999997e-32 5.148e-31 2.9524e-32 8.287e-31 5.0081e-32 7.509e-31 6.4599e-32 6.309e-31 1.034e-31 4.9270000000000005e-31 1.158e-31 0.0 0.0 4.485999999999999e-31 1.283e-31 North 0.0348 0.1671 69.5426 8.0 0.0 107.0 0.0 1.5 3.63 4.0489999999999995 0.09049676025917937 0.03322 1 GNWB-7574617127 12 37 57.46 62 17 12.7 27.16 4 6 3.63 4.0
189.51870466 62.287031325 2246.438 13166.199 8.970000000000002e-32 4.0564999999999997e-32 4.382e-31 2.9585e-32 8.011e-31 5.3131e-32 9.838999999999999e-31 6.148799999999998e-32 8.061e-31 9.64e-32 9.275e-31 1.203e-31 0.0 0.0 8.49e-31 1.19e-31 North 0.0095 0.1732 32.4025 8.0 0.0 0.0 0.0 1.0 4.06 4.0 0.011857707509881346 0.017240000000000002 1 GNWB-8044917136 12 38 4.49 62 17 13.6 26.41 4 6 4.06 4.0
189.49459088 62.287875336000006 2919.479000000001 13213.949 1.26e-32 3.9649999999999997e-32 1.9539999999999998e-31 2.9340999999999996e-32 4.21e-31 4.9776e-32 4.5079999999999985e-31 6.350099999999998e-32 5.743e-31 9.64e-32 5.313999999999999e-31 1.158e-31 0.0 0.0 4.64e-31 1.274e-31 North 0.0098 0.414 68.7114 8.0 0.0 107.0 0.0 2.0 4.27 4.2219999999999995 0.009108159392789214 0.2549 1 GNWB-7586917166 12 37 58.69 62 17 16.6 27.09 4 6 4.27 4.0
