id SFR_ha SFR_ha_err SFR_uv SFR_uv_err SFR_sed SFR_sed_l68 SFR_sed_u68 M_star_mean M_star_median M_star_68_l Mv EW_rest_corr EW_rest_err_corr metal_O32 metal_O32_err metal_R23 metal_R23_err comment
309_2_13 8.503776092120303 3.0086875246704192 18.630434128350448 2.132967635768591 6.021634 3.2614145 8.944473 8.830513 8.814293 8.720305999999999 -19.050958537079573 149.51738737791132 51.321134673178044 8.2 0.06 -99.0 -99.0 -
309_2_14 -99.0 -99.0 29.98003461335548 13.918966857888133 140.95972 113.13591 165.70529 9.1729 9.149447 9.046335 -20.168088077664784 -93.3319 -99.0 -99.0 -99.0 -99.0 -99.0 -
309_2_17 -99.0 -99.0 18.882312350872684 1.9792529172498303 4.6601157 3.0384808 6.349089 8.865991000000003 8.844739 8.731805 -18.812248082160664 -93.79956 -99.0 8.47 0.08 -99.0 -98.0 -
309_2_18 10.268061270070069 3.4714312405314285 27.84221760016107 1.5078454487516828 19.684858 12.114931 26.366165 9.912976 9.917528 9.73578 -20.047339134205888 75.48990360320832 24.126786703914444 8.25 0.06 8.93 -99.0 -
309_2_20 1.1905227006627193 0.25818475138211056 0.6878900215629002 0.12823459303850626 0.4483172 0.20194402 0.6160319000000001 8.916071 8.887405000000003 8.741355 -17.088044400272757 156.58752984589043 33.3018850599315 -99.0 -99.0 -99.0 -99.0 -
236_1_2 10.872991305225224 2.4193200804643893 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 50.88572219427604 10.463881837727332 8.38 0.07 8.81 -99.0 Double-galaxy
236_1_3 10.525415892554157 1.1188952625097168 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 736.3200439672678 77.80870340203057 -99.0 -99.0 -99.0 -99.0 -
236_1_4 1.8812851677112958 0.5666399459802911 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 30.442885478764076 8.25596718507802 8.69 0.01 8.88 0.01 -
236_1_5 8.072649777047609 1.2552653982858 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 15.16673571587951 1.8983942410880301 -99.0 -99.0 -99.0 -99.0 -
236_1_6 10.338514120444927 1.9774436041360783 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -20.083611660337144 63.477365773195885 11.293671890904342 8.75 -99.0 -99.0 -99.0 -
236_1_7 2.929830578006695 0.5579761954164097 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 160.82862362912587 29.90561386631282 -99.0 -99.0 -99.0 -99.0 -
236_1_8 3.918278583735137 0.7866426490007318 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 15.824227329845215 2.552938500109004 8.73 0.03 8.98 -99.0 -
236_1_9 11.215724315421033 1.9414475397244972 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -19.565586267787047 138.13175637865993 23.151611640021557 -99.0 -99.0 -99.0 -99.0 Double-galaxy
236_1_10 9.62977673435557 0.7502225072439653 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 27.214485870720253 1.886918304716188 8.61 0.06 8.96 -99.0 Extended_relative_to_slit
