X_Deg Y_Deg X_Pix Y_Pix B-band_Flux B-Flux_error V-band_Flux V-Flux_error I-band_Flux I-Flux_error Z-band_Flux Z-Flux_error Y-band_Flux Y-Flux_error J-band_Flux J-Flux_error JH-band_Flux JH-Flux_error H-band_Flux H-Flux_error Image_used R_s Axis_Ratio Position_Angle_Degrees Galfit_Error_Code Astrometric_Flag A_CIER Mag_Flag Colour_Flag input_z redshift_beagle_1 outlier_value P1/P2 drop_out_agree ID(Fink) IAU IAU2 RA Dec ZPhot b_ZPhot B_ZPhot 1500Mag b_1500Mag B_1500Mag
189.37180533 62.250881848 6340.4969999999985 10983.514 1.426e-31 4.392e-32 3.6469999999999995e-31 3.0988000000000003e-32 6.467e-31 4.934899999999997e-32 7.631999999999998e-31 6.264699999999999e-32 5.450999999999998e-31 4.6799999999999994e-32 6.225999999999999e-31 5.49e-32 5.328e-31 1.8879999999999997e-31 7.608e-31 7.36e-32 North 0.9235 0.4516 83.6387 0.0 0.0 0.0 0.0 1.0 3.5 3.692 0.0426666666666666 0.3259 1 z4_GND_18788 HRG14 J123729.23+621503.2 189.371811 62.250889 3.5 0.8 3.78 -19.18 -19.4 -18.89
189.28069266 62.28821469 8887.625 13219.646 2.351e-31 3.7027e-32 3.136e-31 3.0133999999999997e-32 4.2459999999999995e-31 5.1728e-32 5.549e-31 6.404999999999997e-32 2.9079999999999995e-31 3.95e-32 4.852e-31 5.13e-32 3.8659999999999994e-31 1.905e-31 5.453e-31 6.58e-32 North 1.6 0.0868 -83.1951 8.0 0.0 0.0 0.0 7.0 3.5 2.917 0.1295555555555556 -99.0 1 z4_GND_8138 HRG14 J123707.36+621717.6 189.280685 62.288212 3.5 3.2 3.73 -19.56 -19.68 -19.27
189.25114126 62.161035138 9709.498 5588.396 1.875e-31 4.4346999999999984e-32 5.066e-31 3.0072999999999987e-32 6.992e-31 4.8556e-32 8.201e-31 6.350099999999998e-32 7.934999999999995e-31 4.34e-32 9.557e-31 5.4e-32 8.038e-31 2.595e-31 1.0193e-30 7.41e-32 North 0.7155 0.0681 -0.1137 8.0 0.0 107.0 0.0 7.0 3.5 3.403 0.02155555555555555 -99.0 1 z4_GND_1454 HRG14 J123700.29+620939.7 189.25119 62.161026 3.5 0.33 3.72 -19.6 -19.76 -19.42
189.15737963 62.281515664 12328.68 12818.214 2.6529999999999998e-31 5.3131e-32 7.534999999999995e-31 3.440399999999999e-32 1.0414e-30 5.056899999999999e-32 1.2177e-30 6.655099999999997e-32 1.1729e-30 4.6399999999999995e-32 1.3234e-30 5.219999999999998e-32 1.4494999999999996e-30 7.879999999999999e-32 1.640099999999999e-30 7.34e-32 North 2.0415 0.4247 36.9414 0.0 0.0 0.0 0.0 3.0 3.5 3.3680000000000003 0.029333333333333263 -99.0 1 z4_GND_9199 HRG14 J123637.77+621653.5 189.157379 62.281525 3.5 3.3 3.68 -20.38 -20.53 -20.34
189.20364497 62.19456702 11039.535 7600.3359999999975 4.3149999999999996e-31 3.739299999999999e-32 7.281e-31 3.7759e-32 7.488999999999998e-31 5.3497e-32 7.984e-31 7.2956e-32 6.3399999999999995e-31 8.919999999999998e-32 8.106e-31 9.13e-32 1.1568e-30 2.322e-31 1.293e-30 1.3789999999999994e-31 North 0.01 0.05 -73.3097 14.0 0.0 0.0 0.0 7.0 3.5 2.616 0.1964444444444444 -99.0 1 z4_GND_37364 HRG14 J123648.87+621140.5 189.203644 62.194572 3.5 3.05 3.97 -19.3 -19.82 -19.24
189.27975082 62.289358721999996 8913.958 13288.267 1.6899999999999995e-32 3.684399999999998e-32 2.6719999999999997e-31 3.0865999999999994e-32 4.4569999999999995e-31 4.959299999999999e-32 4.067e-31 6.386699999999997e-32 3.097e-31 3.87e-32 3.2079999999999996e-31 5.54e-32 3.958e-31 2.0129999999999997e-31 3.452e-31 7.54e-32 North 0.0082 0.1037 -35.9757 8.0 0.0 107.0 0.0 1.5 3.5 3.768 0.05955555555555561 0.0864 1 z4_GND_8027 HRG14 J123707.14+621721.6 189.279739 62.28933000000001 3.5 2.98 3.82 -18.47 -18.65 -18.15
189.21359187 62.304120773 10759.613000000001 14173.476 1.2117e-30 3.5502e-32 4.1541e-30 3.0439e-32 5.9861e-30 4.898299999999999e-32 6.2447e-30 6.038999999999998e-32 6.2154999999999996e-30 2.175e-31 6.8083e-30 5.05e-32 7.0676e-30 1.9499999999999999e-31 8.0134e-30 6.249999999999997e-32 North 0.6741 0.3366 62.9785 0.0 0.0 0.0 0.0 1.0 3.5 3.342 0.035111111111111086 -99.0 1 z4_GND_42650 HRG14 J123651.26+621814.8 189.213593 62.30411899999999 3.5 3.43 3.58 -21.48 -21.56 -21.45
189.12982767 62.28118063 13097.621000000001 12799.122 2.303e-31 3.4830999999999995e-32 9.495999999999998e-31 3.1598e-32 1.55e-30 5.026399999999997e-32 1.9196e-30 6.716099999999999e-32 1.8301e-30 4.54e-32 2.3578e-30 5.349999999999997e-32 2.8800999999999996e-30 2.102e-31 3.5135e-30 7.28e-32 North 1.262 0.4427 0.4392 0.0 0.0 0.0 0.0 3.0 3.5 3.266 0.052000000000000005 -99.0 1 z4_GND_44788 HRG14 J123631.16+621652.2 189.129822 62.281166000000006 3.5 3.21 3.7 -20.2 -20.43 -20.15
189.18991376 62.299844508 11420.071000000002 13917.173999999999 2.4869999999999998e-31 4.9898e-32 8.489e-31 3.0499999999999987e-32 1.2612999999999999e-30 4.8738999999999996e-32 1.3494999999999996e-30 6.112199999999997e-32 1.3249e-30 1.959e-31 1.7653e-30 5.54e-32 2.18e-30 9.18e-32 2.4259e-30 7.269999999999999e-32 North 1.8039 0.3884 29.6698 0.0 0.0 0.0 0.0 3.0 3.51 3.606 0.021286031042128718 -99.0 1 z4_GND_7109 HRG14 J123645.58+621759.4 189.189926 62.299847 3.51 3.3 3.72 -20.25 -20.41 -20.12
189.36397849 62.213373805 6554.443 8732.565 1.3539999999999996e-31 2.989e-32 4.208e-31 2.3302e-32 6.049e-31 4.0625999999999996e-32 5.859e-31 5.2643e-32 3.994e-31 5.5e-32 5.643e-31 5.24e-32 3.97e-31 1.989e-31 6.606999999999999e-31 7.55e-32 North 99.0 99.0 99.0 1.0 0.0 0.0 0.0 1.0 3.51 3.465 0.009977827050997768 -99.0 1 z4_GND_31654 HRG14 J123727.35+621248.2 189.363968 62.21338299999999 3.51 2.75 3.75 -18.66 -18.82 -18.38
