ID_Bouwens ID(Fink) id(Har) X_Deg Y_Deg Y-Flux/Error J-Flux/Error H-Flux/Error Image_used
GNDY-7193611417 z8_GND_37387 - 189.33068627 62.19485349 0.079$\pm$0.05 0.366$\pm$0.065 0.394$\pm$0.078 North
GNDY-7048017191 z8_GND_8052 - 189.27000680000003 62.288552544 0.25$\pm$0.047 0.77$\pm$0.055 1.058$\pm$0.067 North
GNDY-6542918162 z8_GND_42641 - 189.22622643 62.30442053 0.066$\pm$0.053 0.298$\pm$0.053 0.279$\pm$0.06 North
- z8_GND_17539 - 189.04517130000002 62.25453391600001 0.017$\pm$0.053 0.195$\pm$0.056 0.396$\pm$0.073 North
GNWY-6336207437 z8_GNW_3806 - 189.14009408 62.128713183 0.336$\pm$0.095 0.889$\pm$0.104 0.581$\pm$0.123 North
- z8_GNW_25541 - 189.51305912 62.288684771999996 0.42$\pm$0.097 0.725$\pm$0.127 0.663$\pm$0.129 North
- z8_GNW_2963 - 189.09223777 62.122361379 0.325$\pm$0.105 0.615$\pm$0.099 0.642$\pm$0.147 North
GNWY-6458508231 z8_GNW_5376 - 189.19106998 62.139695794 0.239$\pm$0.13 0.756$\pm$0.096 0.839$\pm$0.119 North
- z8_GNW_27475 - 189.37379953 62.336394373999994 0.164$\pm$0.104 0.578$\pm$0.116 0.573$\pm$0.127 North
GNWY-7247220496 z8_GNW_30497 - 189.35302673 62.347017902 0.261$\pm$0.103 0.56$\pm$0.12 0.621$\pm$0.12 North
GNWY-7088719051 z8_GNW_21001 - 189.28701581 62.318022556 0.156$\pm$0.1 0.581$\pm$0.102 0.723$\pm$0.139 North
- z8_GNW_19912 - 189.25269859 62.328403613999996 0.493$\pm$0.094 0.767$\pm$0.085 0.843$\pm$0.097 North
- z8_GNW_20826 - 189.40119588 62.319241063 0.473$\pm$0.089 1.053$\pm$0.117 1.23$\pm$0.131 North
- z7_GSD_431 - 53.167746675 -27.73607492 0.22$\pm$0.039 0.374$\pm$0.055 0.319$\pm$0.075 South
- z7_GSD_3811 - 53.133437338 -27.76030039 0.432$\pm$0.048 0.741$\pm$0.063 0.908$\pm$0.086 South
XDFY-2388047071 z7_MAIN_3474 - 53.161688656 -27.78532103 0.297$\pm$0.008 0.512$\pm$0.011 0.559$\pm$0.01 XDF
- z7_MAIN_5721 - 53.155059437 -27.80170293 0.125$\pm$0.008 0.218$\pm$0.013 0.209$\pm$0.011 XDF
XDFY-2431346284 z7_MAIN_1400 - 53.179734622 -27.77457892 0.118$\pm$0.008 0.218$\pm$0.011 0.242$\pm$0.011 XDF
- z7_MAIN_2203 - 53.18627291 -27.77896685 0.189$\pm$0.008 0.326$\pm$0.012 0.31$\pm$0.011 XDF
- z8_GSD_2135 - 53.178666432 -27.75118645 0.226$\pm$0.043 0.636$\pm$0.059 0.743$\pm$0.079 South
- z8_GSD_18901 - 53.058885376000006 -27.80802136 0.181$\pm$0.057 0.655$\pm$0.054 0.55$\pm$0.072 South
GSDY-2181852456 z8_GSD_36195 - 53.075760428 -27.87932623 0.185$\pm$0.055 0.568$\pm$0.06 0.572$\pm$0.075 South
GSDY-2180951184 z8_GSD_32912 - 53.075380062 -27.85513124 0.09$\pm$0.062 0.315$\pm$0.052 0.346$\pm$0.073 South
GSDY-2499348180 z8_GSD_17938 - 53.208065956999995 -27.80503033 0.534$\pm$0.049 1.712$\pm$0.055 1.916$\pm$0.064 South
- z8_GSD_28457 - 53.136721331000004 -27.837399199999997 0.068$\pm$0.038 0.188$\pm$0.053 0.323$\pm$0.071 South
GSDY-2144651485 z8_GSD_34461 - 53.06026899999999 -27.86348125 0.092$\pm$0.062 0.344$\pm$0.064 0.328$\pm$0.078 South
- z8_GSD_9231 - 53.045503608000004 -27.77901806 0.048$\pm$0.051 0.31$\pm$0.059 0.401$\pm$0.075 South
GSDY-2209748534 z8_GSD_21106 - 53.087423153 -27.81484992 0.107$\pm$0.049 0.497$\pm$0.053 0.567$\pm$0.071 South
- z8_MAIN_1318 - 53.179527051 -27.77387947 0.044$\pm$0.008 0.084$\pm$0.011 0.08$\pm$0.011 XDF
XDFY-2430846276 z8_MAIN_1375 - 53.179511217 -27.77436228 0.042$\pm$0.009 0.113$\pm$0.012 0.091$\pm$0.011 XDF
XDFY-2377946001 z8_MAIN_519 - 53.157493111 -27.766695000000002 0.053$\pm$0.008 0.157$\pm$0.011 0.157$\pm$0.011 XDF
XDFY-2430746241 z8_MAIN_1224 - 53.17950618800001 -27.77338941 0.031$\pm$0.009 0.057$\pm$0.012 0.067$\pm$0.011 XDF
